date,variant,net_return_difference
2020-03-17,monthly_control,-0.00017604175953998217
2020-03-18,monthly_control,2.5052202554562766e-05
2020-03-19,monthly_control,-0.00041529980420691595
2020-03-20,monthly_control,0.00012123796119418821
2020-03-23,monthly_control,-0.0007895757671146746
2020-03-24,monthly_control,0.0006299588426452295
2020-03-25,monthly_control,-0.00011372428175851143
2020-03-26,monthly_control,0.0006609471164075661
2020-03-27,monthly_control,-0.00019978878610175813
2020-03-30,monthly_control,-5.3924203730928294e-05
2020-03-31,monthly_control,0.00043320787039094217
2020-04-01,monthly_control,-1.598681243954788e-05
2020-04-02,monthly_control,-0.0001611047448434426
2020-04-03,monthly_control,0.00016239039675058952
2020-04-07,monthly_control,0.00033114933388539783
2020-04-08,monthly_control,-0.00021644824963932283
2020-04-09,monthly_control,0.00016001082619979297
2020-04-10,monthly_control,0.0003270309967236709
2020-04-13,monthly_control,0.00013304786183409656
2020-04-14,monthly_control,6.483353140353948e-05
2020-04-15,monthly_control,8.513451348064977e-05
2020-04-16,monthly_control,-6.399154483618984e-05
2020-04-17,monthly_control,0.00016697376602484854
2020-04-20,monthly_control,5.5907333224792084e-05
2020-04-21,monthly_control,-0.00013622819170100268
2020-04-22,monthly_control,0.00012298309577589114
2020-04-23,monthly_control,0.00013428804749776764
2020-04-24,monthly_control,0.0001909810209734658
2020-04-27,monthly_control,0.0003383504143120836
2020-04-28,monthly_control,0.00013784164769561381
2020-04-29,monthly_control,0.00010165278119178903
2020-04-30,monthly_control,-0.00010926140120360098
2020-05-06,monthly_control,-0.00044173177915595645
2020-05-07,monthly_control,8.566079251497421e-05
2020-05-08,monthly_control,-6.073727673463689e-06
2020-05-11,monthly_control,2.508831664421512e-05
2020-05-12,monthly_control,-0.0002463283244910643
2020-05-13,monthly_control,2.898903619921381e-05
2020-05-14,monthly_control,-8.105524876508233e-05
2020-05-15,monthly_control,-0.000337585286543048
2020-05-18,monthly_control,0.0002916950866570433
2020-05-19,monthly_control,1.953949138095226e-06
